股票代码,行业,股票名称,市盈率得分,财务得分,总分
001209.SZ,服饰,洪兴股份,24.0,42.0,33.0
001210.SZ,供气供热,金房节能,8.0,41.0,24.5
001211.SZ,家居用品,双枪科技,16.0,36.0,26.0
001212.SZ,其他建材,中旗新材,16.0,46.0,31.0
001213.SZ,仓储物流,中铁特货,16.0,47.0,31.5
001215.SZ,食品,千味央厨,32.0,37.0,34.5
001216.SZ,家居用品,华瓷股份,8.0,49.0,28.5
001217.SZ,化工原料,华尔泰,24.0,42.0,33.0
001218.SZ,化工原料,丽臣实业,32.0,29.0,30.5
001219.SZ,食品,青岛食品,24.0,45.0,34.5
001227.SZ,银行,兰州银行,0.0,32.0,16.0
001234.SZ,服饰,泰慕士,0.0,43.0,21.5
